"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
1982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,0.260454999075613,1.26685183617943,1.84720556597072,2.46535564732083,2.72049503047782,3.10413534279853,3.15653104889411,4.90893900274514,3.46370796828699,5.39159598756938,3.10637249566097,5.25973302738235,3.75896204460756,1.99724043755024,1.87257739802738,1.10959028000098,0.377604986042184,0.374804013836196,0.131370169479859,0.180799720352063,0,0,0
1986,0.229006094411406,2.18641671301185,3.39272990127806,3.13393243289567,4.52818674828405,3.67622545359984,3.7747054204203,4.45712822778281,3.5503434979385,4.51860249885112,3.71130404063833,4.43823682741999,3.04720832140248,1.59227649470116,1.05231141049391,0.553367283364816,0.271891327332265,0.214615453830472,0.0512995907490051,0.0749806628571544,0,0,0
1987,0.151613774557363,1.67932856048229,2.96575688165289,3.51321963647411,3.20179892746961,3.07099151152097,2.88130746170484,3.65590411397944,2.95460616733008,3.95246455489807,2.64792394282152,4.53233757797212,3.5905084520262,2.21150041959335,1.39973937168138,0.636108350120346,0.425910515556964,0.122129557119044,0.206364717368101,0.119809714783264,0,0,0
1988,0.114515453730587,0.434056089748699,1.9762389880351,2.6198804341826,3.20116609614346,2.58461565198727,2.40009298207511,2.29457921199998,2.59249893886259,3.36337839655076,2.71921376714018,2.59400773886897,2.07569466319292,1.42611415905434,1.09522882053976,0.671363265769891,0.394225110562457,0.240296469565333,0.0539366140514557,0.0966591251107627,0.0339156617237833,0.0144515722135786,0.00637590893543296
1989,0.0856194979210606,0.881814249201507,1.80349797922667,2.39616822530215,2.78373571276502,3.00004897611454,2.96347250431413,2.92643097797064,2.98879216137346,3.30447160093511,3.45620845396106,3.6777137634462,2.75578839497133,1.53813704706879,0.986621807677786,0.731765902711373,0.359192081776785,0.332222642128243,0.155444644606371,0.0651640274018699,0,0.0402045946704963,0.0187283891163612
1990,0.207104546859368,1.0792074928281,3.0008594339031,2.5025452765988,3.33137154808588,3.02099153176835,3.17369140284986,2.86401440094465,3.35235202758147,2.76220544566754,2.40557199564741,1.80913171525904,1.37858661522395,0.734398254190844,0.738548114878023,0.479827681537067,0.118039061168519,0.0148758923974622,0.108991014131402,0.0750033540245273,0,0,0.01277407665664
1991,0,0.887075813889003,2.858615916583,4.49671285069875,4.38565485579103,3.73557737909722,4.18371241856326,4.16962355594161,4.17770168996408,3.80657446067052,3.76592839191835,4.00384306035705,2.33699366958748,1.76489360381103,0.821848495532978,0.493128270001909,0.341936431815947,0.145110275344995,0.0774713707011133,0.0154839172605803,0.0190154858492888,0,0
1992,0.205070702787469,0.830108844130074,1.590484335414,4.02962900340371,3.60321856404681,3.78980760309393,3.73147598443593,3.49098997791434,3.1665721175545,3.51924159730479,3.59399516716506,3.29473584852075,2.19719093417551,1.50712682212612,0.744956684816765,0.451933242221339,0.30295603395945,0.188791572667414,0.0447111566394618,0.0402803752088509,0.0314913078027818,0.0206303315244469,0
1993,0,1.69080221163985,3.36823461585844,4.72345742030613,4.88164328332433,5.28297059215118,4.15571353464101,3.98361378048043,3.259832697021,3.22846324279954,2.8479322612488,2.59798347790064,1.42434746401329,1.39018854965165,0.656902376685382,0.435551226044309,0.230960167013738,0.112527497619049,0.0819378956471179,0.0110360718275984,0,0,0.0151954995646062
1994,0,0.982823776278204,2.37766534862716,5.41711507511707,5.02992255734823,5.29068213076,5.51045055893134,4.0470736662326,4.00640963574115,3.87215650937533,3.07006874306315,2.62153075487259,1.65861458381416,1.16631784313689,0.760156120827049,0.522172628039652,0.265086821540856,0.130685429179011,0.0720364644602574,0.062912485911244,0,0,0
1995,0,1.79986525626027,2.75813671339437,3.44903620268977,4.70316072023412,4.43091369731795,4.60032628560915,4.24598951889979,3.64418474438673,3.43172205685579,2.51123236156195,2.35706323025474,1.32308673871049,0.817403376549343,0.460119638774606,0.384709057910244,0.226101020929176,0.0899190576523063,0.0547604893397885,0.031737863539589,0,0,0
1996,0.116068480644625,1.23430223764653,3.82326369617177,4.07261961683647,4.70398707253588,6.4292895866779,7.01069427886956,7.54942542374083,6.342227909844,4.86605295233237,2.87909210354129,2.16800256190533,1.79522719050546,0.759850220235062,0.604521432307092,0.349647727677055,0.36963623376439,0.182951607866875,0.0577175568421716,0,0,0,0
1997,0.430143640237257,1.17350831186204,3.69315843956709,6.21131093953075,5.67600003623478,4.07825354460445,6.35544653571273,5.86295604336712,5.26421243295079,3.4816212201129,3.25491392822197,1.79723823309075,1.36831847207328,0.884171893966801,0.580094178228366,0.348607331648698,0.302672350230503,0.212968735833301,0.368428234170976,0.0358744460993823,0.0709332631795797,0.0372359255374287,0
1998,0.853733040009653,1.58810880601724,3.60411719364152,4.89829731250833,4.6382996522143,4.99694004047222,3.75494939792627,5.67007978893598,5.15685704603195,4.23835320870067,3.54045708593108,2.08563199719439,1.6733663788414,1.16126378854127,1.05790566217883,0.965284898803848,0.538169815721358,0.376628242493669,0.055091476967431,0.072527455049811,0.0289830137216669,0.0374177620565475,0.0458500397260161
1999,0.152233228649152,2.08859597678307,3.20242843766664,3.79687208698927,6.04361598734249,5.92883338791775,4.99897059779135,4.07060382257568,5.69610792529129,4.79472164633574,3.36411870938668,2.30502588753756,1.54790246254837,1.35717720275902,0.883359943980727,0.415773858671361,0.274645621807014,0.158166826122224,0,0.0378377439808093,0.0570580219670286,0.0383736237979355,0
2000,0.720236964819166,1.60031817560617,4.72180424240312,4.07312978438423,4.0076771823501,6.05079727357716,4.26943835668885,3.50222514605975,3.20506062073423,3.34639135002883,3.16864476153611,2.92474298564902,2.01639533203589,1.38317942435058,0.612168403179045,0.505067997184586,0.519900864453532,0.152709849993592,0.0289808855121269,0.0636569552568765,0,0.0399850220750244,0.0289808855121269
2001,0.271312886877705,2.02056901917197,3.46922826388603,4.52012752074112,3.89320618104021,3.5251615399492,3.76864320553194,5.10478773375655,3.41844489982457,2.03213284097227,3.91666002864207,2.38818022950474,1.74057014738663,1.05902143939451,1.09044126181643,0.162077614116822,0.189466498646249,0.160062820222923,0.13339549727751,0,0.0581209049506558,0.0581209049506558,0
2002,0.31769109953099,2.11050939913021,4.55805343461781,4.81053473183768,6.0077453771608,3.60895072757593,3.07982443140018,3.54167428977439,3.56892683219102,2.9837129482016,2.74602580803035,3.06584515870236,2.17015684707922,1.23369593540726,0.861329329883566,0.338753341730007,0.257491056055363,0.163503845780862,0.0769847572905228,0,0,0.0365312648985385,0
2003,0.291771029722354,1.63969954227502,4.30742048301827,4.10024664119974,5.0329470196963,5.46885542924221,3.45889881691973,3.48393669824456,3.85485325354583,3.83920878160473,2.6537067567774,2.24936919426848,3.01847460890443,1.78939124335536,1.21605372868709,0.341145558104738,0.220516675598299,0.0838075099470914,0.0922800790704097,0.0978118373989559,0.0736179628729251,0,0.0505997782982851
2004,0.601766317238373,0.947978808151231,2.28652642411879,3.81070872642678,4.61427590903835,3.6540087503779,3.42999411993762,2.73965620787698,2.33560085778559,3.30510075660898,1.78233021519625,1.80572425647784,1.296182677311,1.3319431129467,0.900710867708568,0.44685989315198,0.103630597154733,0.0878899646649297,0.090467629392966,0,0.017410973879699,0,0
2005,0.269406186881234,1.47836367451017,2.99087155479007,3.7066992414254,3.87105190827716,3.33102659908726,3.35427714317693,3.11809445516318,2.53374190640164,1.94770171510741,2.93424327162927,1.87008651580548,1.52925922967623,1.13756774590986,1.11334679551222,0.531284796840288,0.33604182333212,0.092143935083325,0.0749075848954579,0.0691576369243414,0,0,0
2006,0.440881811038471,0.931703226697041,1.7760791943835,2.56071045421116,3.03408139201938,3.9384957849418,3.26471259151049,3.07856066208626,3.42064031379597,2.48525472028603,2.00117061820727,1.73407938846273,1.72173212361725,0.858126778317189,1.16637062001773,0.61792361243804,0.466051483851738,0.0763537253257011,0,0.0507791154136839,0.0379711178592368,0.0379711178592368,0
